date,category,product_name,quantity,price,total_amount,discount,final_amount
9/27/2023,Meat & Seafood,Pasta,1,4.13,4.13,0,4.13
7/16/2025,Snacks & Candy,Carrots,1,12.16,12.16,1.82,10.34
1/19/2024,Snacks & Candy,Bananas,5,27.83,139.15,20.87,118.28
6/9/2024,Dairy,Cereal,5,10.09,50.45,0,50.45
11/25/2023,Personal Care,Rice,4,10.45,41.8,1.51,40.29
11/23/2023,Health & Wellness,Tomatoes,2,18.84,37.68,4.33,33.35
3/7/2025,Frozen Foods,Yogurt,4,23.78,95.12,9.51,85.61
2/27/2024,Beverages,Yogurt,5,14.71,73.55,0,73.55
7/4/2025,Frozen Foods,Carrots,5,10.71,53.55,0,53.55
5/14/2024,Bakery,Yogurt,2,1.7,3.4,4.4,-1
11/22/2023,Beverages,Cheese,5,6.63,33.15,3.31,29.84
8/24/2024,Bakery,Eggs,1,26.88,26.88,2.69,24.19
3/16/2025,Meat & Seafood,Carrots,4,2.45,9.8,0.98,8.82
6/5/2025,Beverages,Carrots,5,18.26,91.3,4.26,87.04
12/3/2023,Snacks & Candy,Onions,4,27.01,108.04,10.8,97.24
4/13/2025,Bakery,Pasta,5,15.04,75.2,7.52,67.68
11/12/2024,Frozen Foods,Ground Beef,3,10.73,32.19,6.44,25.75
5/31/2024,Bakery,Tomatoes,2,21.48,42.96,4.3,38.66
11/11/2024,Personal Care,Salmon,4,2.8,11.2,1.12,10.08
9/20/2024,Household Items,Tomatoes,4,1.16,4.64,0.46,4.18
10/9/2024,Personal Care,Onions,5,27.03,135.15,20.27,114.88
1/16/2025,Beverages,Bananas,4,10.74,42.96,0,42.96
1/17/2025,Beverages,Eggs,5,16.48,82.4,3.26,79.14
3/12/2025,Dairy,Cheese,2,26.13,52.26,7.84,44.42
3/25/2025,Canned Goods,Yogurt,4,10.47,41.88,6.28,35.6
11/1/2023,Frozen Foods,Bread,4,1.55,6.2,0.93,5.27
7/9/2024,Health & Wellness,Bread,1,22.86,22.86,4.57,18.29
7/24/2024,Household Items,Eggs,2,4.65,9.3,4.79,4.51
2/17/2025,Frozen Foods,Orange Juice,2,18.56,37.12,7.42,29.7
8/29/2024,Dairy,Bananas,3,17.69,53.07,5.31,47.76
9/4/2024,Dairy,Ground Beef,1,21.21,21.21,4.13,17.08
6/13/2025,Personal Care,Cheese,3,2.99,8.97,4.4,4.57
5/21/2025,Dairy,Cheese,3,19.42,58.26,0,58.26
11/22/2024,Snacks & Candy,Apples,5,28.99,144.95,14.49,130.46
12/3/2023,Household Items,Pasta,3,25.69,77.07,11.56,65.51
3/21/2025,Bakery,Salmon,5,18.69,93.45,2.98,90.47
9/28/2024,Meat & Seafood,Potatoes,2,11.28,22.56,3.38,19.18
7/20/2025,Personal Care,Bananas,5,28.48,142.4,0,142.4
11/14/2024,Beverages,Onions,2,21.02,42.04,4.2,37.84
8/20/2024,Dairy,Rice,2,12.72,25.44,0,25.44
11/1/2023,Beverages,Onions,5,10.96,54.8,8.22,46.58
6/19/2025,Frozen Foods,Rice,3,7.68,23.04,3.46,19.58
2/8/2024,Personal Care,Apples,2,7.27,14.54,0,14.54
2/10/2024,Household Items,Rice,1,25.14,25.14,3.77,21.37
10/12/2023,Frozen Foods,Bananas,5,4.66,23.3,2.17,21.13
5/1/2025,Health & Wellness,Potatoes,1,26.3,26.3,2.63,23.67
3/19/2025,Beverages,Cereal,2,28.99,57.98,4.29,53.69
3/23/2025,Beverages,Bread,5,19.24,96.2,19.24,76.96
11/14/2023,Dairy,Ground Beef,1,17.17,17.17,2.52,14.65
10/7/2024,Frozen Foods,Cheese,3,17.48,52.44,10.49,41.95
2/28/2024,Frozen Foods,Bread,2,7.95,15.9,3.18,12.72
6/14/2025,Snacks & Candy,Salmon,5,14.62,73.1,10.96,62.14
1/18/2024,Beverages,Bread,2,27.78,55.56,5.56,50
3/15/2025,Personal Care,Ground Beef,2,27.33,54.66,1.24,53.42
2/10/2025,Household Items,Rice,4,4.6,18.4,0,18.4
6/11/2024,Frozen Foods,Carrots,5,15.31,76.55,7.66,68.89
7/12/2024,Household Items,Pasta,1,3.64,3.64,0,3.64
7/22/2024,Household Items,Milk,2,14.63,29.26,4.39,24.87
2/15/2024,Household Items,Cheese,4,29.09,116.36,11.64,104.72
9/25/2023,Canned Goods,Chicken Breast,2,10.55,21.1,3.17,17.93
8/23/2023,Personal Care,Milk,4,3.54,14.16,4.88,9.28
11/6/2024,Personal Care,Bananas,5,14.39,71.95,2.45,69.5
8/12/2023,Health & Wellness,Salmon,1,6.89,6.89,1.03,5.86
2/6/2025,Beverages,Chicken Breast,1,29.21,29.21,0,29.21
1/31/2024,Frozen Foods,Onions,1,17.01,17.01,2.85,14.16
7/10/2025,Health & Wellness,Eggs,4,28.04,112.16,11.22,100.94
6/4/2025,Beverages,Ground Beef,4,16.98,67.92,3.03,64.89
10/1/2023,Dairy,Pasta,4,10.85,43.4,2.13,41.27
2/7/2024,Household Items,Potatoes,2,13.94,27.88,4.18,23.7
1/7/2025,Personal Care,Tomatoes,4,28.04,112.16,0,112.16
1/20/2024,Household Items,Tomatoes,2,25.81,51.62,7.74,43.88
11/17/2023,Snacks & Candy,Tomatoes,2,15.35,30.7,4.86,25.84
2/11/2024,Dairy,Salmon,1,16.24,16.24,0,16.24
4/25/2025,Snacks & Candy,Eggs,1,14.61,14.61,2.19,12.42
1/1/2024,Health & Wellness,Bread,3,25.71,77.13,11.57,65.56
10/21/2023,Personal Care,Milk,5,2.97,14.85,2.97,11.88
5/8/2024,Snacks & Candy,Chicken Breast,1,13.86,13.86,1.18,12.68
6/21/2024,Frozen Foods,Orange Juice,3,13.48,40.44,3.73,36.71
6/7/2025,Meat & Seafood,Apples,1,18.67,18.67,1.87,16.8
1/11/2025,Bakery,Salmon,3,14.32,42.96,4.3,38.66
9/23/2023,Health & Wellness,Onions,2,3.13,6.26,2.2,4.06
2/22/2025,Frozen Foods,Salmon,3,6.77,20.31,1.95,18.36
4/19/2025,Household Items,Rice,3,1.63,4.89,0.73,4.16
2/16/2024,Household Items,Milk,5,22.6,113,22.6,90.4
1/1/2024,Bakery,Yogurt,5,8.26,41.3,0,41.3
7/20/2024,Health & Wellness,Milk,3,23.86,71.58,0,71.58
6/29/2024,Dairy,Rice,3,22.67,68.01,13.6,54.41
3/10/2024,Canned Goods,Carrots,5,27.48,137.4,20.61,116.79
2/17/2024,Frozen Foods,Cereal,1,14.57,14.57,2.91,11.66
7/16/2024,Personal Care,Orange Juice,1,23.92,23.92,1.49,22.43
9/15/2023,Health & Wellness,Pasta,5,12.04,60.2,3.7,56.5
5/17/2025,Produce,Onions,3,27.53,82.59,0,82.59
10/18/2023,Frozen Foods,Cheese,1,5.04,5.04,0.76,4.28
12/14/2023,Dairy,Chicken Breast,2,26.72,53.44,5.34,48.1
8/18/2024,Health & Wellness,Onions,4,18.02,72.08,7.21,64.87
1/20/2024,Beverages,Cheese,3,1.94,5.82,0.58,5.24
7/7/2025,Bakery,Orange Juice,1,29.44,29.44,2.59,26.85
12/12/2023,Dairy,Salmon,1,20.21,20.21,4.15,16.06
8/8/2023,Meat & Seafood,Yogurt,1,25.05,25.05,1.86,23.19
2/28/2024,Canned Goods,Eggs,5,1.07,5.35,1.07,4.28
3/15/2024,Frozen Foods,Apples,1,20.16,20.16,2.43,17.73
1/29/2025,Household Items,Cereal,1,6.04,6.04,0,6.04
12/5/2023,Personal Care,Chicken Breast,1,14.8,14.8,3.37,11.43
3/24/2024,Personal Care,Ground Beef,5,2.25,11.25,1.12,10.13
9/21/2023,Produce,Potatoes,4,13.35,53.4,0,53.4
9/23/2023,Dairy,Bread,3,18.63,55.89,8.38,47.51
9/20/2023,Canned Goods,Tomatoes,5,16.38,81.9,4.17,77.73
11/2/2024,Health & Wellness,Onions,2,13.46,26.92,2.69,24.23
8/31/2024,Beverages,Tomatoes,4,22.15,88.6,13.29,75.31
12/7/2023,Canned Goods,Eggs,4,2.94,11.76,2.73,9.03
9/4/2024,Meat & Seafood,Onions,1,18,18,0,18
5/29/2025,Snacks & Candy,Orange Juice,4,26.16,104.64,15.7,88.94
9/29/2023,Canned Goods,Chicken Breast,5,15.7,78.5,15.7,62.8
1/12/2025,Canned Goods,Onions,3,4.32,12.96,1.3,11.66
6/15/2024,Household Items,Onions,1,18.65,18.65,1.72,16.93
6/28/2025,Canned Goods,Orange Juice,1,6.25,6.25,1.57,4.68
10/29/2024,Dairy,Carrots,2,11.9,23.8,4.76,19.04
11/30/2024,Frozen Foods,Cereal,5,18.28,91.4,18.28,73.12
6/27/2024,Household Items,Milk,1,8.88,8.88,0.89,7.99
4/8/2024,Snacks & Candy,Pasta,2,22.88,45.76,4.58,41.18
1/12/2024,Frozen Foods,Potatoes,5,20.34,101.7,10.17,91.53
2/8/2024,Produce,Yogurt,3,28.4,85.2,12.78,72.42
6/9/2024,Canned Goods,Chicken Breast,1,15.41,15.41,3.08,12.33
1/9/2025,Personal Care,Ground Beef,5,17.19,85.95,2.59,83.36
7/27/2024,Snacks & Candy,Bananas,4,27.7,110.8,2.72,108.08
7/28/2025,Health & Wellness,Cheese,3,4.33,12.99,2.6,10.39
8/14/2023,Canned Goods,Bread,4,25.48,101.92,2.6,99.32
12/1/2024,Snacks & Candy,Rice,3,7.42,22.26,3.04,19.22
10/2/2023,Personal Care,Carrots,2,27.26,54.52,0,54.52
1/19/2024,Bakery,Chicken Breast,2,8.41,16.82,0,16.82
2/28/2024,Meat & Seafood,Potatoes,4,22.87,91.48,0,91.48
7/31/2025,Health & Wellness,Cereal,2,13.74,27.48,0,27.48
6/21/2025,Frozen Foods,Milk,3,15.7,47.1,4.71,42.39
6/19/2025,Produce,Orange Juice,3,3.22,9.66,3.38,6.28
5/20/2024,Beverages,Onions,1,14.03,14.03,2.1,11.93
12/7/2023,Personal Care,Eggs,1,14.06,14.06,0,14.06
5/15/2025,Personal Care,Apples,1,8.17,8.17,3.09,5.08
2/3/2025,Canned Goods,Orange Juice,3,12.23,36.69,0,36.69
11/24/2024,Health & Wellness,Cereal,1,10.55,10.55,1.58,8.97
8/13/2023,Health & Wellness,Eggs,3,3.35,10.05,1.51,8.54
7/30/2025,Health & Wellness,Tomatoes,2,18.25,36.5,5.47,31.03
8/5/2025,Snacks & Candy,Cereal,2,20.42,40.84,0,40.84
2/28/2024,Personal Care,Orange Juice,1,11.51,11.51,1.73,9.78
6/28/2025,Bakery,Ground Beef,2,5.48,10.96,4.08,6.88
3/5/2025,Produce,Cereal,5,4.79,23.95,4.79,19.16
3/5/2024,Household Items,Apples,4,2.26,9.04,0.9,8.14
11/18/2024,Beverages,Ground Beef,5,7.93,39.65,7.93,31.72
2/14/2025,Health & Wellness,Salmon,4,23.3,93.2,3.11,90.09
1/12/2024,Bakery,Eggs,3,2.5,7.5,4.74,2.76
9/2/2024,Dairy,Rice,1,23.12,23.12,1.59,21.53
2/18/2024,Dairy,Ground Beef,4,26.64,106.56,10.66,95.9
10/17/2023,Snacks & Candy,Carrots,3,7.83,23.49,4.7,18.79
5/12/2025,Canned Goods,Chicken Breast,3,23.94,71.82,10.77,61.05
9/10/2023,Meat & Seafood,Potatoes,4,18.84,75.36,2.02,73.34
4/22/2024,Personal Care,Carrots,4,4.21,16.84,2.53,14.31
12/13/2024,Produce,Ground Beef,4,19.52,78.08,1.44,76.64
12/10/2023,Household Items,Onions,1,19.32,19.32,0,19.32
10/8/2024,Frozen Foods,Cheese,1,18.82,18.82,3.76,15.06
10/15/2024,Personal Care,Orange Juice,1,28.64,28.64,2.86,25.78
11/1/2023,Produce,Tomatoes,3,8.35,25.05,2.38,22.67
6/22/2025,Household Items,Cereal,2,2.28,4.56,0,4.56
10/3/2024,Health & Wellness,Salmon,4,19.31,77.24,3.86,73.38
5/16/2025,Produce,Rice,2,2.26,4.52,0.68,3.84
11/1/2024,Personal Care,Tomatoes,5,14.72,73.6,11.04,62.56
7/5/2024,Produce,Cereal,3,4.6,13.8,1.38,12.42
9/8/2023,Snacks & Candy,Cereal,2,15.38,30.76,2.07,28.69
5/16/2024,Snacks & Candy,Bread,4,18.46,73.84,2.18,71.66
7/5/2025,Dairy,Cereal,3,9.88,29.64,5.93,23.71
1/17/2024,Canned Goods,Salmon,1,22.07,22.07,4.99,17.08
1/6/2025,Health & Wellness,Milk,1,20.45,20.45,4.2,16.25
5/7/2024,Produce,Eggs,5,20.65,103.25,20.65,82.6
12/1/2024,Bakery,Orange Juice,3,12.09,36.27,1.61,34.66
7/26/2025,Canned Goods,Orange Juice,4,23.12,92.48,2.47,90.01
6/8/2025,Health & Wellness,Pasta,2,28.85,57.7,5.77,51.93
4/19/2025,Snacks & Candy,Onions,1,8.58,8.58,1.72,6.86
6/21/2025,Beverages,Yogurt,1,4.93,4.93,0.99,3.94
8/26/2023,Dairy,Cereal,3,21.57,64.71,9.71,55
3/1/2025,Health & Wellness,Apples,3,15.74,47.22,9.44,37.78
4/5/2025,Beverages,Bananas,3,17.06,51.18,1.52,49.66
4/21/2025,Dairy,Rice,4,29.98,119.92,2.64,117.28
3/1/2024,Household Items,Bread,2,29.19,58.38,5.84,52.54
4/9/2025,Health & Wellness,Carrots,3,4.71,14.13,2.83,11.3
5/30/2024,Personal Care,Milk,1,16.01,16.01,3.2,12.81
6/3/2025,Bakery,Orange Juice,5,26.94,134.7,20.2,114.5
1/26/2024,Health & Wellness,Onions,3,4.62,13.86,3.56,10.3
5/2/2025,Meat & Seafood,Cereal,5,2.18,10.9,1.18,9.72
5/4/2024,Health & Wellness,Yogurt,5,13.07,65.35,6.54,58.81
5/5/2025,Frozen Foods,Rice,4,8.09,32.36,4.85,27.51
1/27/2024,Dairy,Milk,2,13.74,27.48,5.5,21.98
12/31/2024,Household Items,Eggs,3,25.97,77.91,7.79,70.12
6/11/2024,Canned Goods,Carrots,5,4.07,20.35,2.07,18.28
3/10/2024,Meat & Seafood,Chicken Breast,1,9.41,9.41,1.88,7.53
3/29/2025,Canned Goods,Cereal,2,23.12,46.24,4.62,41.62
5/5/2024,Beverages,Bananas,1,28.4,28.4,5.68,22.72
6/12/2024,Household Items,Orange Juice,1,2.46,2.46,0.37,2.09
4/20/2024,Produce,Chicken Breast,4,4.87,19.48,1.95,17.53
11/4/2023,Produce,Tomatoes,1,17.53,17.53,2.15,15.38
12/23/2023,Personal Care,Salmon,5,9.1,45.5,9.1,36.4
9/5/2023,Snacks & Candy,Orange Juice,3,17.17,51.51,10.3,41.21
11/12/2024,Snacks & Candy,Carrots,1,2.3,2.3,0.23,2.07
5/1/2024,Beverages,Eggs,5,26.89,134.45,2.27,132.18
7/10/2024,Household Items,Rice,5,10.74,53.7,0,53.7
11/4/2023,Beverages,Bananas,3,10.6,31.8,2.23,29.57
7/5/2025,Household Items,Potatoes,3,29.04,87.12,0,87.12
2/20/2024,Household Items,Potatoes,2,16.19,32.38,6.48,25.9
2/7/2025,Produce,Chicken Breast,2,1.54,3.08,0.62,2.46
8/8/2023,Bakery,Cheese,5,23.46,117.3,0,117.3
7/25/2025,Meat & Seafood,Carrots,2,17.26,34.52,2.51,32.01
1/21/2025,Beverages,Onions,3,16.83,50.49,2.94,47.55
5/15/2024,Frozen Foods,Onions,3,7.51,22.53,3.38,19.15
9/30/2023,Beverages,Cereal,4,11.11,44.44,6.67,37.77
12/3/2024,Household Items,Onions,4,26.97,107.88,21.58,86.3
1/3/2025,Produce,Rice,1,11.03,11.03,0,11.03
2/16/2025,Bakery,Yogurt,5,8.85,44.25,8.85,35.4
9/3/2024,Household Items,Ground Beef,2,2.46,4.92,0,4.92
1/5/2025,Produce,Chicken Breast,4,10.57,42.28,0,42.28
4/16/2024,Produce,Onions,2,12.79,25.58,2.56,23.02
1/29/2025,Frozen Foods,Cereal,3,19.72,59.16,0,59.16
10/10/2024,Personal Care,Milk,2,13.11,26.22,4.99,21.23
1/3/2024,Beverages,Apples,3,26.42,79.26,3.41,75.85
1/4/2025,Frozen Foods,Salmon,5,16.2,81,2.87,78.13
1/14/2025,Dairy,Cereal,2,22.19,44.38,0,44.38
11/27/2024,Produce,Cereal,3,17.46,52.38,10.48,41.9
6/17/2024,Snacks & Candy,Carrots,3,3.51,10.53,2.11,8.42
5/15/2025,Beverages,Cereal,2,1.19,2.38,0.24,2.14
3/30/2024,Canned Goods,Rice,5,21.95,109.75,0,109.75
1/17/2024,Bakery,Milk,1,14.49,14.49,0,14.49
4/8/2025,Frozen Foods,Chicken Breast,3,11.65,34.95,6.99,27.96
8/2/2024,Meat & Seafood,Salmon,5,11.83,59.15,4.21,54.94
7/15/2024,Bakery,Bread,5,13.95,69.75,4.67,65.08
9/7/2024,Produce,Onions,5,6.85,34.25,6.85,27.4
4/14/2025,Personal Care,Salmon,1,20.72,20.72,4.6,16.12
12/30/2024,Produce,Salmon,2,15.87,31.74,2.85,28.89
3/14/2024,Produce,Tomatoes,3,24.67,74.01,1.29,72.72
1/3/2025,Canned Goods,Bread,5,29.82,149.1,14.91,134.19
10/18/2023,Frozen Foods,Cheese,2,23.29,46.58,6.99,39.59
1/10/2025,Beverages,Tomatoes,4,3.32,13.28,0,13.28
1/28/2024,Dairy,Apples,5,12.39,61.95,4.02,57.93
11/29/2023,Beverages,Onions,4,16.42,65.68,13.14,52.54
9/11/2023,Canned Goods,Eggs,3,6.46,19.38,4.24,15.14
8/10/2024,Household Items,Bananas,2,6.97,13.94,1.39,12.55
7/25/2024,Bakery,Milk,4,13.72,54.88,1.56,53.32
6/25/2025,Bakery,Cereal,5,18.33,91.65,18.33,73.32
2/14/2025,Meat & Seafood,Carrots,2,12.98,25.96,4.79,21.17
8/24/2024,Health & Wellness,Cheese,5,15.36,76.8,0,76.8
2/12/2024,Personal Care,Cereal,4,12.83,51.32,10.26,41.06
12/28/2024,Beverages,Ground Beef,2,9.71,19.42,1.94,17.48
6/30/2025,Personal Care,Cheese,4,17.15,68.6,13.72,54.88
4/2/2025,Bakery,Cereal,1,27.73,27.73,3.14,24.59
1/23/2024,Produce,Pasta,4,20.53,82.12,1.75,80.37
4/22/2025,Bakery,Potatoes,2,26.2,52.4,1.85,50.55
8/1/2024,Dairy,Potatoes,2,21.16,42.32,4.23,38.09
10/12/2024,Personal Care,Cereal,3,12.03,36.09,5.41,30.68
7/19/2025,Canned Goods,Carrots,4,14.5,58,8.7,49.3
7/26/2024,Canned Goods,Cereal,4,2.32,9.28,0,9.28
4/20/2025,Produce,Pasta,5,28.1,140.5,21.07,119.43
1/6/2025,Bakery,Cereal,2,12.01,24.02,2.4,21.62
10/14/2024,Health & Wellness,Cereal,3,23.13,69.39,6.94,62.45
3/15/2025,Canned Goods,Apples,2,21.88,43.76,4.96,38.8
11/24/2024,Personal Care,Milk,1,28.4,28.4,2.65,25.75
7/3/2024,Dairy,Eggs,1,7.33,7.33,3.47,3.86
7/18/2024,Health & Wellness,Potatoes,1,1.18,1.18,1.07,0.11
3/6/2025,Personal Care,Rice,1,15.55,15.55,3.11,12.44
7/21/2024,Dairy,Carrots,2,7.98,15.96,2.39,13.57
3/12/2025,Snacks & Candy,Bread,3,28.81,86.43,0,86.43
5/20/2025,Frozen Foods,Bread,1,3.7,3.7,2.9,0.8
3/23/2025,Meat & Seafood,Bread,4,25.5,102,4.91,97.09
8/17/2024,Personal Care,Milk,2,7.12,14.24,2.14,12.1
3/7/2024,Dairy,Pasta,5,17.33,86.65,13,73.65
10/6/2023,Bakery,Eggs,4,27.93,111.72,1.96,109.76
2/5/2024,Health & Wellness,Onions,3,12.12,36.36,0,36.36
4/23/2024,Personal Care,Orange Juice,1,3.82,3.82,0.57,3.25
6/30/2025,Canned Goods,Bananas,3,23.71,71.13,14.23,56.9
10/8/2023,Personal Care,Tomatoes,4,6.38,25.52,4.09,21.43
12/2/2023,Bakery,Bread,1,8.76,8.76,0,8.76
5/30/2024,Canned Goods,Orange Juice,1,3.64,3.64,0.36,3.28
2/5/2025,Frozen Foods,Chicken Breast,2,3.52,7.04,3.22,3.82
9/25/2023,Dairy,Bananas,1,11.25,11.25,1.12,10.13
6/18/2024,Frozen Foods,Cheese,4,23.59,94.36,3.08,91.28
10/1/2024,Meat & Seafood,Eggs,3,9.72,29.16,1.67,27.49
6/24/2024,Snacks & Candy,Rice,4,23.69,94.76,18.95,75.81
1/14/2024,Household Items,Yogurt,4,4.09,16.36,1.64,14.72
6/4/2024,Household Items,Tomatoes,3,13.76,41.28,6.19,35.09
6/2/2025,Household Items,Yogurt,4,10.1,40.4,6.06,34.34
8/11/2024,Health & Wellness,Potatoes,5,23.67,118.35,17.75,100.6
5/6/2024,Canned Goods,Chicken Breast,5,6.78,33.9,0,33.9
3/14/2025,Produce,Salmon,2,13.71,27.42,2.74,24.68
5/30/2025,Meat & Seafood,Rice,2,8.32,16.64,1.66,14.98
9/28/2024,Beverages,Potatoes,5,12.61,63.05,1.15,61.9
4/19/2025,Personal Care,Bread,1,23.29,23.29,4.66,18.63
8/20/2024,Household Items,Tomatoes,3,29,87,1.39,85.61
3/5/2024,Personal Care,Carrots,5,17.83,89.15,8.92,80.23
8/18/2024,Snacks & Candy,Salmon,5,21.01,105.05,2.93,102.12
6/4/2024,Snacks & Candy,Bread,1,25.1,25.1,3.77,21.33
1/7/2025,Canned Goods,Salmon,2,16.1,32.2,2.75,29.45
2/19/2025,Canned Goods,Bread,3,2.29,6.87,4.4,2.47
5/20/2025,Health & Wellness,Apples,2,15.95,31.9,4.78,27.12
7/21/2025,Snacks & Candy,Salmon,2,24.12,48.24,9.65,38.59
12/2/2024,Snacks & Candy,Bananas,5,26.6,133,13.3,119.7
8/27/2023,Bakery,Yogurt,3,22.81,68.43,1.41,67.02
11/8/2024,Meat & Seafood,Orange Juice,3,6.71,20.13,0,20.13
10/11/2023,Personal Care,Cereal,5,12.26,61.3,9.19,52.11
11/20/2023,Beverages,Apples,3,27.63,82.89,0,82.89
12/26/2023,Canned Goods,Chicken Breast,2,9.85,19.7,0,19.7
2/25/2024,Personal Care,Tomatoes,4,18.29,73.16,7.32,65.84
4/17/2024,Beverages,Onions,2,17.08,34.16,6.83,27.33
7/25/2024,Canned Goods,Salmon,5,2.54,12.7,1.27,11.43
4/25/2024,Bakery,Tomatoes,5,15.65,78.25,0,78.25
3/10/2024,Snacks & Candy,Salmon,4,5.84,23.36,4.67,18.69
2/18/2024,Produce,Pasta,2,16.58,33.16,3.97,29.19
8/6/2024,Personal Care,Carrots,1,17.6,17.6,4.29,13.31
3/10/2025,Beverages,Onions,2,29.69,59.38,8.91,50.47
9/16/2023,Beverages,Pasta,3,25.99,77.97,4.1,73.87
1/28/2024,Bakery,Orange Juice,5,19.34,96.7,19.34,77.36
4/4/2025,Produce,Orange Juice,5,9.14,45.7,6.86,38.84
3/14/2025,Frozen Foods,Pasta,5,29.57,147.85,29.57,118.28
2/15/2024,Produce,Pasta,2,21.33,42.66,8.53,34.13
5/19/2025,Bakery,Tomatoes,4,5.11,20.44,0,20.44
12/1/2024,Snacks & Candy,Salmon,1,19.37,19.37,1.94,17.43
2/8/2024,Frozen Foods,Orange Juice,4,28.55,114.2,0,114.2
8/8/2024,Beverages,Orange Juice,1,24.06,24.06,2.41,21.65
10/18/2024,Beverages,Pasta,3,25.01,75.03,4.41,70.62
8/2/2024,Health & Wellness,Milk,1,3.88,3.88,1.5,2.38
3/24/2025,Beverages,Salmon,1,29.75,29.75,0,29.75
12/15/2023,Health & Wellness,Rice,2,26.35,52.7,3.62,49.08
4/2/2025,Dairy,Orange Juice,2,2.49,4.98,0,4.98
4/4/2024,Snacks & Candy,Bread,1,1.02,1.02,0.2,0.82
10/29/2024,Personal Care,Salmon,1,1.22,1.22,0.12,1.1
7/28/2025,Beverages,Bread,2,12.1,24.2,2.25,21.95
10/27/2024,Meat & Seafood,Tomatoes,2,19.6,39.2,3.12,36.08
6/10/2024,Household Items,Apples,4,11.17,44.68,4.47,40.21
10/5/2023,Bakery,Bread,1,5.05,5.05,0.76,4.29
10/25/2023,Canned Goods,Eggs,2,9.02,18.04,3.4,14.64
5/28/2025,Produce,Rice,2,16,32,0,32
