date,category,product_name,quantity,price,sales
6/17/2025,Electronics,Laptop,4,1446.23,5784.92
6/5/2025,Home & Kitchen,Air Fryer,1,7160.9,7160.9
8/3/2025,Books,Science Textbook,4,22791.46,91165.84
1/17/2025,Beauty,Hair Dryer,4,46964.84,187859.36
10/6/2025,Clothing,Sneakers,1,49050.2,49050.2
11/25/2025,Clothing,T-Shirt,4,4765.34,19061.36
4/17/2025,Clothing,Saree,2,3616.79,7233.58
3/8/2025,Books,Fiction Novel,3,42948.63,128845.89
10/29/2025,Electronics,Laptop,1,18040.47,18040.47
9/1/2025,Electronics,Laptop,4,26399.06,105596.24
1/23/2025,Electronics,Smartwatch,5,11233.18,56165.9
9/9/2025,Electronics,Smartwatch,4,21428.43,85713.72
11/21/2025,Books,Science Textbook,1,6484.34,6484.34
2/20/2025,Books,Biography,4,25376.44,101505.76
8/1/2025,Clothing,Jacket,3,41405.48,124216.44
2/4/2025,Home & Kitchen,Vacuum Cleaner,2,34403.69,68807.38
10/15/2025,Electronics,Headphones,2,27907.26,55814.52
2/23/2025,Beauty,Face Cream,3,30100.42,90301.26
2/28/2025,Clothing,T-Shirt,3,42299.6,126898.8
1/15/2025,Books,Comics,5,1507.44,7537.2
10/17/2025,Home & Kitchen,Vacuum Cleaner,1,9234,9234
6/24/2025,Electronics,Tablet,2,18934.48,37868.96
3/22/2025,Books,Comics,1,44190.44,44190.44
4/21/2025,Beauty,Shampoo,5,22213.8,111069
1/24/2025,Electronics,Headphones,5,24434.31,122171.55
5/11/2025,Electronics,Laptop,3,47277.14,141831.42
12/27/2025,Beauty,Shampoo,2,6633.45,13266.9
6/10/2025,Electronics,Smartwatch,1,23095.76,23095.76
3/29/2025,Home & Kitchen,Mixer Grinder,4,1238.66,4954.64
2/10/2025,Electronics,Laptop,4,29525.79,118103.16
9/29/2025,Clothing,Sneakers,2,4003.69,8007.38
3/30/2025,Clothing,Jeans,1,7492.92,7492.92
11/26/2025,Beauty,Hair Dryer,5,22555.48,112777.4
10/30/2025,Electronics,Smartwatch,4,31642.98,126571.92
5/27/2025,Home & Kitchen,Air Fryer,4,2072.84,8291.36
8/19/2025,Books,Children's Book,4,29100.4,116401.6
2/13/2025,Books,Science Textbook,1,22636.05,22636.05
7/6/2025,Beauty,Shampoo,5,26232.85,131164.25
2/3/2025,Home & Kitchen,Water Purifier,1,39503.5,39503.5
2/11/2025,Home & Kitchen,Vacuum Cleaner,5,43689.33,218446.65
11/26/2025,Clothing,Saree,1,15617.18,15617.18
6/8/2025,Electronics,Smartwatch,5,18219.04,91095.2
2/21/2025,Clothing,Jeans,2,7916.27,15832.54
4/3/2025,Books,Science Textbook,5,18960.65,94803.25
4/30/2025,Home & Kitchen,Cookware Set,4,30607.65,122430.6
5/25/2025,Clothing,Sneakers,5,49225.1,246125.5
7/10/2025,Books,Science Textbook,3,2798.55,8395.65
8/12/2025,Clothing,Sneakers,4,45284.25,181137
5/1/2025,Electronics,Smartwatch,1,19943.41,19943.41
3/16/2025,Electronics,Headphones,1,41990.98,41990.98
1/10/2025,Clothing,Jacket,4,30844.34,123377.36
5/2/2025,Books,Comics,4,5737.11,22948.44
11/2/2025,Beauty,Hair Dryer,4,3327.8,13311.2
11/11/2025,Books,Science Textbook,2,14705.34,29410.68
9/27/2025,Clothing,T-Shirt,5,48737.79,243688.95
7/2/2025,Electronics,Smartwatch,3,12831.78,38495.34
6/23/2025,Books,Biography,2,2407.92,4815.84
1/19/2025,Clothing,Jeans,1,35859.04,35859.04
8/31/2025,Electronics,Headphones,3,25866.1,77598.3
5/20/2025,Home & Kitchen,Vacuum Cleaner,1,43316.75,43316.75
12/21/2025,Beauty,Shampoo,3,48691.43,146074.29
10/7/2025,Electronics,Smartwatch,1,21644.24,21644.24
3/27/2025,Home & Kitchen,Vacuum Cleaner,3,22406.61,67219.83
2/8/2025,Home & Kitchen,Water Purifier,4,13872.86,55491.44
1/18/2025,Electronics,Laptop,5,33968.83,169844.15
12/14/2025,Home & Kitchen,Air Fryer,5,1812.79,9063.95
6/10/2025,Electronics,Tablet,2,26567.1,53134.2
3/2/2025,Clothing,Jacket,5,19471.97,97359.85
4/13/2025,Clothing,Saree,3,34760.24,104280.72
12/8/2025,Clothing,Jacket,1,40563.56,40563.56
7/5/2025,Home & Kitchen,Vacuum Cleaner,2,35648.09,71296.18
10/21/2025,Clothing,Jeans,4,1508.94,6035.76
9/27/2025,Books,Fiction Novel,1,15602.68,15602.68
6/26/2025,Clothing,Sneakers,1,22608.73,22608.73
3/26/2025,Books,Fiction Novel,1,26001.49,26001.49
4/11/2025,Home & Kitchen,Water Purifier,3,42327.5,126982.5
10/31/2025,Books,Comics,1,25228.14,25228.14
2/11/2025,Books,Biography,5,2251.48,11257.4
11/18/2025,Books,Children's Book,5,32021.76,160108.8
12/19/2025,Beauty,Perfume,4,15012.21,60048.84
6/10/2025,Beauty,Shampoo,2,17141.59,34283.18
8/27/2025,Home & Kitchen,Water Purifier,5,5487.96,27439.8
11/12/2025,Clothing,T-Shirt,1,14652.56,14652.56
9/21/2025,Books,Biography,2,38203.44,76406.88
4/21/2025,Electronics,Smartphone,4,25371.13,101484.52
2/25/2025,Beauty,Hair Dryer,4,14430.27,57721.08
10/15/2025,Beauty,Lipstick,1,20148.96,20148.96
5/24/2025,Electronics,Smartwatch,5,22627.65,113138.25
4/12/2025,Home & Kitchen,Vacuum Cleaner,5,46959.64,234798.2
9/23/2025,Electronics,Smartphone,2,35736.87,71473.74
11/12/2025,Clothing,Sneakers,5,16062.8,80314
7/8/2025,Books,Children's Book,5,15129.57,75647.85
10/23/2025,Home & Kitchen,Mixer Grinder,5,23834.59,119172.95
3/17/2025,Clothing,Saree,5,38775.39,193876.95
7/31/2025,Clothing,T-Shirt,4,15821.89,63287.56
6/16/2025,Beauty,Face Cream,2,26030.42,52060.84
11/9/2025,Beauty,Hair Dryer,3,27404.41,82213.23
5/28/2025,Books,Biography,2,47085.98,94171.96
12/13/2025,Home & Kitchen,Water Purifier,3,14531.91,43595.73
6/27/2025,Clothing,Sneakers,1,14523.99,14523.99
12/23/2025,Clothing,Jeans,5,13702.41,68512.05
4/26/2025,Books,Science Textbook,2,2728.12,5456.24
1/3/2025,Home & Kitchen,Air Fryer,1,34123.36,34123.36
2/15/2025,Beauty,Perfume,3,16194.15,48582.45
5/29/2025,Clothing,T-Shirt,4,39440.44,157761.76
9/26/2025,Books,Fiction Novel,3,14371.17,43113.51
11/28/2025,Home & Kitchen,Cookware Set,1,16668.07,16668.07
8/7/2025,Home & Kitchen,Water Purifier,2,8939.65,17879.3
1/4/2025,Electronics,Laptop,2,23977.21,47954.42
1/6/2025,Home & Kitchen,Vacuum Cleaner,3,29206.55,87619.65
12/18/2025,Electronics,Smartphone,4,15478.96,61915.84
9/2/2025,Home & Kitchen,Vacuum Cleaner,5,11198.29,55991.45
12/7/2025,Home & Kitchen,Air Fryer,5,45657.29,228286.45
2/9/2025,Electronics,Tablet,4,26503.02,106012.08
9/24/2025,Clothing,Saree,5,7662.65,38313.25
1/29/2025,Books,Children's Book,1,44964.69,44964.69
1/12/2025,Beauty,Hair Dryer,1,28028.1,28028.1
10/5/2025,Books,Fiction Novel,1,21300.13,21300.13
7/11/2025,Home & Kitchen,Air Fryer,2,38494.81,76989.62
3/2/2025,Electronics,Tablet,2,32746,65492
12/11/2025,Clothing,T-Shirt,1,48928.84,48928.84
4/7/2025,Clothing,Jeans,4,17438.75,69755
11/1/2025,Books,Fiction Novel,2,10462.86,20925.72
4/22/2025,Clothing,T-Shirt,4,22060.35,88241.4
5/2/2025,Clothing,Saree,3,28958.25,86874.75
10/30/2025,Clothing,Jacket,3,13902.67,41708.01
12/23/2025,Electronics,Headphones,4,39333.07,157332.28
6/3/2025,Beauty,Perfume,5,23781.24,118906.2
5/5/2025,Beauty,Shampoo,5,26593.59,132967.95
1/27/2025,Beauty,Lipstick,1,26874.65,26874.65
12/10/2025,Books,Fiction Novel,1,9570.53,9570.53
9/3/2025,Home & Kitchen,Mixer Grinder,2,46870.56,93741.12
11/29/2025,Books,Biography,3,19156.95,57470.85
6/13/2025,Books,Children's Book,4,5110.69,20442.76
5/14/2025,Electronics,Tablet,2,37114.37,74228.74
9/13/2025,Home & Kitchen,Cookware Set,4,28575.52,114302.08
9/8/2025,Beauty,Perfume,3,8629.43,25888.29
2/4/2025,Electronics,Smartphone,1,20737.13,20737.13
9/5/2025,Beauty,Lipstick,1,30968.19,30968.19
10/2/2025,Books,Children's Book,1,1032.96,1032.96
4/9/2025,Clothing,T-Shirt,1,26314.39,26314.39
10/17/2025,Beauty,Face Cream,3,47973.03,143919.09
9/1/2025,Electronics,Smartphone,4,19087.35,76349.4
10/17/2025,Electronics,Smartwatch,4,32316.38,129265.52
12/17/2025,Books,Children's Book,3,2518.79,7556.37
2/9/2025,Electronics,Laptop,5,7380.74,36903.7
12/19/2025,Books,Children's Book,5,16720.15,83600.75
11/1/2025,Beauty,Perfume,1,17161.52,17161.52
8/10/2025,Beauty,Shampoo,2,17919.4,35838.8
7/14/2025,Home & Kitchen,Cookware Set,1,4285.49,4285.49
7/4/2025,Electronics,Smartphone,1,47159.42,47159.42
7/28/2025,Clothing,Jacket,4,27937.85,111751.4
7/17/2025,Books,Fiction Novel,5,29982.58,149912.9
12/17/2025,Electronics,Tablet,2,28683.63,57367.26
8/11/2025,Home & Kitchen,Vacuum Cleaner,4,7467.55,29870.2
11/1/2025,Electronics,Headphones,3,47222.27,141666.81
7/14/2025,Home & Kitchen,Mixer Grinder,4,16744.42,66977.68
9/3/2025,Books,Science Textbook,3,16169.12,48507.36
7/12/2025,Home & Kitchen,Air Fryer,5,39142.32,195711.6
12/16/2025,Books,Science Textbook,5,49863.79,249318.95
12/11/2025,Beauty,Lipstick,1,40984.49,40984.49
2/7/2025,Clothing,Sneakers,2,35818.77,71637.54
12/26/2025,Books,Comics,4,27273.53,109094.12
6/19/2025,Home & Kitchen,Cookware Set,5,2405.98,12029.9
10/25/2025,Home & Kitchen,Cookware Set,5,37393.28,186966.4
9/5/2025,Beauty,Hair Dryer,5,7707.1,38535.5
4/16/2025,Electronics,Laptop,3,15732.14,47196.42
1/23/2025,Electronics,Smartwatch,4,16081.69,64326.76
6/19/2025,Clothing,Jeans,5,8887.77,44438.85
4/12/2025,Clothing,Jeans,4,19900,79600
10/23/2025,Clothing,Jeans,3,37665.81,112997.43
9/28/2025,Clothing,Jacket,1,13265.2,13265.2
11/13/2025,Books,Fiction Novel,3,17728.85,53186.55
3/1/2025,Electronics,Laptop,3,6069.51,18208.53
7/16/2025,Books,Children's Book,4,29902.01,119608.04
4/6/2025,Clothing,Saree,2,24584.17,49168.34
10/15/2025,Home & Kitchen,Mixer Grinder,4,6999.43,27997.72
1/16/2025,Beauty,Shampoo,4,8529.22,34116.88
10/17/2025,Clothing,Saree,3,8576.81,25730.43
8/14/2025,Home & Kitchen,Water Purifier,3,27193.76,81581.28
2/14/2025,Clothing,Sneakers,1,22596.67,22596.67
11/12/2025,Books,Biography,5,31711.98,158559.9
3/28/2025,Books,Biography,5,14198.03,70990.15
1/31/2025,Home & Kitchen,Water Purifier,1,6952.33,6952.33
9/8/2025,Clothing,Jeans,3,41458.39,124375.17
7/26/2025,Beauty,Shampoo,1,31754.66,31754.66
8/23/2025,Beauty,Shampoo,3,29181.39,87544.17
5/26/2025,Clothing,Jacket,2,24836.8,49673.6
1/9/2025,Home & Kitchen,Mixer Grinder,1,5158.82,5158.82
11/29/2025,Electronics,Smartwatch,2,49785.56,99571.12
1/27/2025,Home & Kitchen,Vacuum Cleaner,1,18717.82,18717.82
2/9/2025,Beauty,Face Cream,1,254.1,254.1
12/22/2025,Electronics,Smartphone,3,40892.03,122676.09
6/3/2025,Beauty,Face Cream,1,5339.44,5339.44
8/14/2025,Electronics,Tablet,5,622.04,3110.2
2/21/2025,Beauty,Hair Dryer,4,43026.13,172104.52
5/22/2025,Home & Kitchen,Air Fryer,3,39595.62,118786.86
12/4/2025,Books,Comics,3,38992.69,116978.07
5/3/2025,Books,Science Textbook,4,14917.99,59671.96
7/4/2025,Beauty,Hair Dryer,1,26508.67,26508.67
2/7/2025,Beauty,Lipstick,5,34210.51,171052.55
9/17/2025,Clothing,T-Shirt,1,47444.26,47444.26
2/12/2025,Electronics,Tablet,5,30879.14,154395.7
6/8/2025,Clothing,Saree,3,19658.43,58975.29
1/29/2025,Electronics,Smartwatch,1,22777.92,22777.92
9/25/2025,Clothing,T-Shirt,2,24921.36,49842.72
6/21/2025,Clothing,Sneakers,1,38617.23,38617.23
7/4/2025,Home & Kitchen,Water Purifier,1,24908.15,24908.15
12/12/2025,Home & Kitchen,Cookware Set,3,38711.78,116135.34
7/6/2025,Electronics,Smartphone,1,12378.66,12378.66
6/13/2025,Books,Children's Book,2,16225.74,32451.48
1/24/2025,Electronics,Tablet,1,9131.35,9131.35
7/8/2025,Home & Kitchen,Vacuum Cleaner,1,27743.95,27743.95
4/11/2025,Books,Science Textbook,4,18540.03,74160.12
6/21/2025,Beauty,Face Cream,2,27168.95,54337.9
9/9/2025,Electronics,Laptop,5,49159.16,245795.8
7/31/2025,Electronics,Smartphone,2,44884.92,89769.84
2/8/2025,Books,Fiction Novel,5,6848.99,34244.95
12/25/2025,Clothing,Sneakers,3,42575.5,127726.5
2/25/2025,Clothing,T-Shirt,2,6978.37,13956.74
4/17/2025,Beauty,Lipstick,4,6212.69,24850.76
12/27/2025,Electronics,Smartphone,2,40418.33,80836.66
12/13/2025,Electronics,Laptop,3,19932.97,59798.91
2/18/2025,Beauty,Shampoo,5,37454.31,187271.55
7/10/2025,Electronics,Smartphone,2,6709.62,13419.24
6/19/2025,Electronics,Laptop,4,40503.07,162012.28
9/12/2025,Clothing,Saree,4,41119.93,164479.72
5/24/2025,Clothing,Sneakers,2,45433.55,90867.1
7/30/2025,Books,Comics,2,32434.46,64868.92
5/8/2025,Beauty,Perfume,4,10133,40532
9/15/2025,Beauty,Hair Dryer,4,17332.9,69331.6
1/30/2025,Electronics,Headphones,5,11107.21,55536.05
10/1/2025,Clothing,T-Shirt,2,32911.85,65823.7
12/24/2025,Home & Kitchen,Cookware Set,2,11980.25,23960.5
9/10/2025,Books,Comics,2,28242.82,56485.64
1/11/2025,Electronics,Smartphone,1,11784.64,11784.64
6/15/2025,Books,Science Textbook,2,17169.8,34339.6
7/11/2025,Clothing,T-Shirt,5,43061.34,215306.7
11/24/2025,Home & Kitchen,Cookware Set,2,36671.13,73342.26
7/13/2025,Books,Biography,2,33343.48,66686.96
1/17/2025,Electronics,Tablet,4,42567.7,170270.8
5/2/2025,Books,Fiction Novel,4,7204.04,28816.16
12/21/2025,Home & Kitchen,Air Fryer,1,13407.58,13407.58
3/27/2025,Electronics,Smartphone,4,22023.36,88093.44
11/30/2025,Books,Children's Book,1,41474.59,41474.59
2/7/2025,Electronics,Headphones,1,16072.1,16072.1
9/5/2025,Electronics,Tablet,1,17029.94,17029.94
4/16/2025,Books,Children's Book,2,2867.08,5734.16
1/26/2025,Books,Biography,3,15010.55,45031.65
9/3/2025,Home & Kitchen,Mixer Grinder,4,4563.89,18255.56
6/7/2025,Clothing,Sneakers,1,23783.82,23783.82
7/9/2025,Electronics,Tablet,4,9407.08,37628.32
10/16/2025,Beauty,Shampoo,3,11466.87,34400.61
4/27/2025,Electronics,Headphones,5,20816.54,104082.7
6/3/2025,Books,Children's Book,5,44106.36,220531.8
3/17/2025,Books,Comics,5,40062.43,200312.15
12/16/2025,Clothing,Jeans,2,2325.26,4650.52
2/14/2025,Books,Biography,3,45558.06,136674.18
12/25/2025,Home & Kitchen,Water Purifier,4,45874.66,183498.64
2/24/2025,Clothing,Jeans,5,29479.12,147395.6
11/8/2025,Beauty,Lipstick,4,32808.43,131233.72
1/20/2025,Beauty,Perfume,5,30511.03,152555.15
6/22/2025,Electronics,Smartwatch,3,44872.16,134616.48
6/14/2025,Electronics,Laptop,2,15163.93,30327.86
9/6/2025,Clothing,Jacket,2,45688.95,91377.9
3/11/2025,Clothing,T-Shirt,3,35536.56,106609.68
7/4/2025,Clothing,T-Shirt,2,1846.94,3693.88
7/10/2025,Books,Children's Book,1,34122.48,34122.48
12/19/2025,Books,Comics,3,17343.6,52030.8
4/24/2025,Electronics,Laptop,5,39035.54,195177.7
11/28/2025,Books,Fiction Novel,1,23810.04,23810.04
6/28/2025,Books,Biography,3,21305.58,63916.74
1/4/2025,Home & Kitchen,Water Purifier,5,19978.2,99891
2/2/2025,Books,Biography,3,34283.77,102851.31
5/4/2025,Home & Kitchen,Vacuum Cleaner,3,9580.33,28740.99
8/3/2025,Clothing,T-Shirt,4,49873.96,199495.84
12/18/2025,Books,Comics,2,17289.72,34579.44
4/3/2025,Books,Biography,2,42063.81,84127.62
12/2/2025,Home & Kitchen,Water Purifier,2,47356.78,94713.56
5/31/2025,Home & Kitchen,Air Fryer,3,18709.79,56129.37
9/14/2025,Books,Comics,5,3746.54,18732.7
6/25/2025,Beauty,Face Cream,2,7040.79,14081.58
6/10/2025,Clothing,T-Shirt,4,16764.95,67059.8
2/15/2025,Clothing,Jeans,5,38271.29,191356.45
10/1/2025,Beauty,Shampoo,4,19289.16,77156.64
4/26/2025,Books,Science Textbook,1,33902.06,33902.06
1/24/2025,Beauty,Hair Dryer,5,15444.53,77222.65
6/25/2025,Books,Comics,3,21796.53,65389.59
4/19/2025,Beauty,Face Cream,2,11371.2,22742.4
1/25/2025,Electronics,Smartwatch,3,38608.23,115824.69
10/8/2025,Electronics,Smartphone,4,22326.85,89307.4
12/6/2025,Clothing,T-Shirt,3,21159.4,63478.2
3/2/2025,Clothing,Jacket,1,25676.92,25676.92
4/14/2025,Clothing,Saree,2,38942.35,77884.7
6/19/2025,Electronics,Tablet,4,45535.76,182143.04
9/19/2025,Electronics,Tablet,4,7627.4,30509.6
3/31/2025,Beauty,Lipstick,3,23321.01,69963.03
1/5/2025,Beauty,Face Cream,1,42592.05,42592.05
7/10/2025,Beauty,Hair Dryer,3,43948.08,131844.24
8/4/2025,Beauty,Shampoo,3,41818.28,125454.84
10/19/2025,Clothing,T-Shirt,4,45579.09,182316.36
9/5/2025,Home & Kitchen,Water Purifier,1,43156.27,43156.27
12/27/2025,Electronics,Smartphone,3,32817.68,98453.04
9/4/2025,Books,Comics,5,4943.06,24715.3
9/16/2025,Books,Fiction Novel,1,32241.26,32241.26
1/26/2025,Beauty,Lipstick,2,16678.56,33357.12
8/18/2025,Beauty,Perfume,1,23062.91,23062.91
1/19/2025,Electronics,Smartwatch,1,5311.64,5311.64
6/24/2025,Books,Biography,5,28204.16,141020.8
8/20/2025,Home & Kitchen,Water Purifier,5,30077.57,150387.85
10/8/2025,Electronics,Headphones,3,41528.22,124584.66
2/24/2025,Electronics,Laptop,4,7194.37,28777.48
6/23/2025,Beauty,Perfume,4,41262.8,165051.2
3/10/2025,Electronics,Smartwatch,4,32991.14,131964.56
4/1/2025,Books,Children's Book,5,24250.01,121250.05
8/3/2025,Books,Comics,3,25304.68,75914.04
12/25/2025,Home & Kitchen,Air Fryer,2,7081.36,14162.72
5/29/2025,Home & Kitchen,Water Purifier,2,10204.28,20408.56
10/15/2025,Books,Comics,3,35575.57,106726.71
7/15/2025,Home & Kitchen,Air Fryer,1,26231.95,26231.95
3/16/2025,Clothing,Sneakers,2,49179.91,98359.82
4/25/2025,Electronics,Headphones,4,5303.5,21214
10/10/2025,Electronics,Smartwatch,4,20945,83780
10/29/2025,Clothing,Saree,4,41533.18,166132.72
4/6/2025,Home & Kitchen,Air Fryer,2,49175.98,98351.96
10/27/2025,Beauty,Lipstick,5,13359.13,66795.65
1/27/2025,Clothing,T-Shirt,2,46445.69,92891.38
9/24/2025,Home & Kitchen,Mixer Grinder,3,26364.67,79094.01
12/6/2025,Books,Children's Book,1,17600.27,17600.27
11/29/2025,Clothing,Saree,5,23847.89,119239.45
1/21/2025,Beauty,Perfume,5,45946.64,229733.2
7/11/2025,Home & Kitchen,Water Purifier,3,1430.35,4291.05
3/27/2025,Home & Kitchen,Cookware Set,3,25791.96,77375.88
10/3/2025,Clothing,Jeans,4,41816.12,167264.48
1/28/2025,Electronics,Smartwatch,3,2086.74,6260.22
11/19/2025,Books,Science Textbook,3,20500.11,61500.33
2/2/2025,Beauty,Face Cream,5,493.77,2468.85
8/13/2025,Electronics,Headphones,3,30406.98,91220.94
10/7/2025,Beauty,Perfume,5,11149.31,55746.55
1/3/2025,Electronics,Tablet,5,7240.42,36202.1
3/14/2025,Home & Kitchen,Cookware Set,4,45300.28,181201.12
1/28/2025,Home & Kitchen,Cookware Set,1,9231.63,9231.63
10/25/2025,Electronics,Headphones,1,12684.24,12684.24
6/12/2025,Clothing,T-Shirt,3,31051.89,93155.67
6/11/2025,Home & Kitchen,Water Purifier,2,28364.49,56728.98
3/10/2025,Clothing,Jeans,4,13978.66,55914.64
11/27/2025,Home & Kitchen,Vacuum Cleaner,4,27673.26,110693.04
9/17/2025,Clothing,Sneakers,1,36425.78,36425.78
8/30/2025,Electronics,Tablet,3,27264.77,81794.31
2/16/2025,Books,Biography,2,23342.12,46684.24
8/17/2025,Clothing,Saree,2,37908.86,75817.72
4/29/2025,Clothing,Jacket,3,2212.91,6638.73
7/18/2025,Electronics,Laptop,5,45404.76,227023.8
5/15/2025,Home & Kitchen,Mixer Grinder,5,31751.64,158758.2
