date,gender,category,product_name,sales,quantity,discount,profit,shipping_cost
8/3/2018,Female,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
7/29/2018,Female,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4
8/17/2018,Female,Auto & Accessories,Car Seat Covers,114,4,0.1,29.4,2.9
8/21/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,127.9,12.8
7/30/2018,Female,Auto & Accessories,Car Media Players,140,5,0.3,32,3.2
10/1/2018,Female,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3
12/26/2018,Female,Auto & Accessories,Car Body Covers,117,1,0.3,32.3,3.2
5/19/2018,Female,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4
4/24/2018,Female,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3
11/4/2018,Female,Auto & Accessories,Bike Tyres,72,5,0.2,14.4,1.4
11/4/2018,Female,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1
5/18/2018,Female,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6
5/14/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,114,11.4
5/17/2018,Female,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6
7/29/2018,Female,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9
11/9/2018,Female,Auto & Accessories,Car Body Covers,117,4,0.3,13.6,1.4
8/1/2018,Female,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4
10/26/2018,Male,Auto & Accessories,Tyre,250,1,0.1,165,16.5
7/26/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.1,36,3.6
3/15/2018,Male,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
11/30/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1
10/11/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,132.5,13.3
10/11/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,51.6,5.2
12/9/2018,Male,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9
12/13/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8
10/13/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,20.3,2
4/30/2018,Male,Auto & Accessories,Tyre,250,1,0.3,160,16
11/5/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6
4/15/2018,Male,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1
8/19/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.1,30.6,3.1
9/22/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8
6/7/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,53,5.3
8/10/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,109.9,11
10/18/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5
10/13/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7
7/15/2018,Male,Auto & Accessories,Tyre,250,1,0.1,167.5,16.8
2/13/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.2,72,7.2
9/13/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
8/15/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,20.3,2
8/20/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,116.4,11.6
9/20/2018,Male,Auto & Accessories,Car Media Players,140,4,0.3,32,3.2
2/15/2018,Male,Auto & Accessories,Car Speakers,211,5,0.1,120.5,12
7/28/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2
11/9/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7
11/26/2018,Male,Auto & Accessories,Tyre,250,4,0.3,140,14
7/30/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
3/22/2018,Male,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
9/6/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8
5/9/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4
9/20/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9
1/16/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9
3/8/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,30,3
11/26/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,28.6,2.9
8/27/2018,Male,Auto & Accessories,Tyre,250,4,0.3,120,12
5/11/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.2,36,3.6
6/22/2018,Female,Auto & Accessories,Car Mat,54,1,0.3,27,2.7
5/1/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5
2/19/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,104.8,10.5
9/11/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4
3/20/2018,Male,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5
9/22/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2
11/3/2018,Male,Auto & Accessories,Car & Bike Care,118,4,0.3,19.1,1.9
5/14/2018,Male,Auto & Accessories,Tyre,250,4,0.3,140,14
4/22/2018,Male,Auto & Accessories,Bike Tyres,72,,0.1,36,3.6
12/30/2018,Male,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1
10/5/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,20.3,2
11/26/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2
5/17/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9
7/30/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9
12/1/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6
8/6/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4
6/28/2018,Male,Auto & Accessories,Tyre,250,1,0.3,132.5,13.3
6/27/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
7/1/2018,Male,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1
2/27/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.2,29.4,2.9
4/28/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,137.1,13.7
8/1/2018,Male,Auto & Accessories,Car Media Players,140,4,0.3,43.2,4.3
11/22/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,99.4,9.9
7/6/2018,Female,Auto & Accessories,Car Body Covers,117,5,0.3,7.8,0.8
5/9/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.1,34.5,3.4
4/26/2018,Male,Auto & Accessories,Tyre,250,5,0.1,157.5,15.8
10/27/2018,Female,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6
6/23/2018,Male,Auto & Accessories,Car Mat,54,4,0.2,13.5,1.4
11/20/2018,Male,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6
6/30/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3
12/30/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4
12/7/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,105.7,10.6
5/8/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1
12/30/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.3,20.3,2
4/24/2018,Male,Auto & Accessories,Tyre,250,4,0.3,120,12
9/25/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
7/16/2018,Male,Auto & Accessories,Car Mat,54,1,0.1,54,5.4
4/21/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.2,27.2,2.7
1/19/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.1,148.7,14.9
7/22/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9
3/2/2018,Male,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5
12/26/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4
6/9/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.2,26.2,2.6
8/6/2018,Male,Auto & Accessories,Tyre,250,1,0.2,155,15.5
7/18/2018,Male,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4
12/28/2018,Male,Auto & Accessories,Car Mat,54,1,0.2,54,5.4
10/8/2018,Male,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6
7/10/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2
5/16/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6
7/5/2018,Male,Auto & Accessories,Car Speakers,211,4,0.2,114.1,11.4
2/20/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4
8/21/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4
6/10/2018,Male,Auto & Accessories,Tyre,250,4,0.3,120,12
9/26/2018,Male,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4
4/27/2018,Female,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
5/11/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1
5/25/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9
4/26/2018,Male,Auto & Accessories,Car Media Players,140,5,0.1,53,5.3
4/17/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,88.8,8.9
7/23/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5
8/14/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.3,8.5,0.9
9/30/2018,Male,Auto & Accessories,Tyre,250,1,0.3,160,16
5/15/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.2,24,2.4
7/22/2018,Male,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4
10/24/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6
7/2/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4
12/6/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9
1/4/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9
3/21/2018,Female,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2
8/2/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,32.1,3.2
10/1/2018,Male,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3
11/9/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4
4/15/2018,Male,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
9/26/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.1,31.7,3.2
7/15/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,123.3,12.3
5/30/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6
3/2/2018,Male,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3
12/29/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8
10/25/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7
2/11/2018,Male,Auto & Accessories,Tyre,250,5,0.2,145,14.5
9/15/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,72,7.2
6/13/2018,Male,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
9/4/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5
2/26/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3
8/28/2018,Male,Auto & Accessories,Car Media Players,140,4,0.2,48.8,4.9
9/22/2018,Female,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3
2/13/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.3,19.5,1.9
6/18/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.1,32.1,3.2
12/14/2018,Male,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3
3/20/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6
3/4/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,27,2.7
11/3/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,27.2,2.7
12/29/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9
5/18/2018,Male,Auto & Accessories,Car Media Players,140,5,0.3,25,2.5
10/16/2018,Female,Auto & Accessories,Car Speakers,211,1,0.2,126.8,12.7
7/5/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4
7/27/2018,Male,Auto & Accessories,Car & Bike Care,118,4,0.3,23.8,2.4
7/8/2018,Male,Auto & Accessories,Tyre,250,4,0.3,120,12
12/15/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4
10/25/2018,Male,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1
8/28/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8
9/16/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8
5/15/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,55.8,5.6
7/13/2018,Male,Auto & Accessories,Car Speakers,211,4,0.3,105.7,10.6
11/1/2018,Female,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2
7/21/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.2,33.3,3.3
12/9/2018,Female,Auto & Accessories,Tyre,250,5,0.3,120,12
3/9/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
11/1/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
9/9/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,23.7,2.4
8/10/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,130.2,13
9/27/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9
3/6/2018,Male,Auto & Accessories,Car Speakers,211,1,0.2,118.3,11.8
4/30/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6
10/5/2018,Male,Auto & Accessories,Car & Bike Care,118,4,0.1,33.3,3.3
2/12/2018,Male,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3
7/22/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
10/3/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,27,2.7
5/23/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8
8/3/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.1,148.7,14.9
5/17/2018,Female,Auto & Accessories,Car Media Players,140,5,0.3,39,3.9
11/10/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,122.6,12.3
9/18/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.3,23,2.3
2/27/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.3,28.6,2.9
8/5/2018,Male,Auto & Accessories,Tyre,250,5,,132.5,13.3
4/16/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
6/30/2018,Male,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1
6/11/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.1,30.6,3.1
10/4/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,93.3,9.3
12/29/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,48.8,4.9
7/17/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,88.8,8.9
5/9/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,19.5,1.9
11/8/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.3,8.5,0.9
9/17/2018,Female,Auto & Accessories,Tyre,250,4,0.3,130,13
9/22/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.2,24,2.4
3/11/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,18,1.8
5/4/2018,Female,Auto & Accessories,Car Seat Covers,114,1,0.3,16.9,1.7
3/17/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,116.4,11.6
3/21/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,48.8,4.9
8/27/2018,Male,Auto & Accessories,Car Speakers,211,4,0.3,105.7,10.6
12/18/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.1,33.5,3.3
6/5/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.2,33.3,3.3
4/24/2018,Male,Auto & Accessories,Tyre,250,4,0.3,120,12
3/24/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
12/29/2018,Male,Auto & Accessories,Car Mat,54,1,0.1,54,5.4
4/29/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,20.3,2
9/3/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,116.4,11.6
9/20/2018,Male,Auto & Accessories,Car Media Players,140,1,0.1,55.8,5.6
6/25/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,122.6,12.3
5/8/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5
10/16/2018,Female,Auto & Accessories,Car & Bike Care,118,4,0.3,23.8,2.4
7/2/2018,Male,Auto & Accessories,Tyre,250,4,0.1,160,16
6/23/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6
6/16/2018,Male,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1
8/22/2018,Female,Auto & Accessories,Car Seat Covers,114,1,0.3,29.4,2.9
12/30/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2
8/12/2018,Female,Auto & Accessories,Car Media Players,140,5,0.3,32,3.2
8/1/2018,Male,Auto & Accessories,Car Speakers,211,1,0.3,122.6,12.3
10/6/2018,Female,Auto & Accessories,Car Body Covers,117,1,0.3,32.3,3.2
4/17/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.1,32.1,3.2
6/30/2018,Male,Auto & Accessories,Tyre,250,4,0.3,130,13
12/7/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4
6/10/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
8/8/2018,Female,Auto & Accessories,Car Seat Covers,114,1,0.3,30.6,3.1
10/30/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8
11/8/2018,Male,Auto & Accessories,Car Media Players,140,4,0.3,32,3.2
1/5/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,78.3,7.8
9/10/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.3,23,2.3
8/8/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.3,23.8,2.4
7/12/2018,Male,Auto & Accessories,Tyre,250,5,0.3,107.5,10.8
4/24/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
11/30/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,27,2.7
5/15/2018,Female,Auto & Accessories,Car Seat Covers,114,5,0.3,16.9,1.7
6/22/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,141.8,14.2
10/16/2018,Male,Auto & Accessories,Car Media Players,140,1,0.2,51.6,5.2
7/28/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,88.8,8.9
4/28/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,23,2.3
8/11/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.2,35.6,3.6
12/17/2018,Female,Auto & Accessories,Tyre,250,5,0.2,145,14.5
10/3/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.1,72,7.2
5/7/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
12/9/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.2,31.7,3.2
8/27/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,123.3,12.3
6/24/2018,Male,Auto & Accessories,Car Media Players,140,4,0.1,54.4,5.4
10/9/2018,Male,Auto & Accessories,Car Speakers,211,4,0.3,88.8,8.9
4/11/2018,Male,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8
10/28/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.2,33.3,3.3
11/1/2018,Male,Auto & Accessories,Tyre,250,1,0.2,160,16
4/24/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.2,36,3.6
8/3/2018,Male,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
9/27/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1
9/10/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.1,141.8,14.2
4/13/2018,Male,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6
7/23/2018,Male,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3
9/3/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,33.5,3.3
6/12/2018,Male,Auto & Accessories,Car & Bike Care,118,5,0.2,26.2,2.6
7/24/2018,Male,Auto & Accessories,Tyre,250,1,0.3,150,15
12/7/2018,Female,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
10/5/2018,Female,Auto & Accessories,Car Mat,54,1,0.3,27,2.7
8/15/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5
10/29/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,123.3,12.3
6/19/2018,Male,Auto & Accessories,Car Media Players,140,5,0.1,53,5.3
12/29/2018,Female,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9
12/15/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6
12/27/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,34.5,3.4
11/3/2018,Male,Auto & Accessories,Tyre,250,1,0.2,165,16.5
6/21/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
2/26/2018,Male,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4
2/13/2018,Female,Auto & Accessories,Car Seat Covers,114,5,0.3,16.9,1.7
11/9/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,116.4,11.6
3/7/2018,Male,Auto & Accessories,Car Media Players,140,5,0.2,46,4.6
5/30/2018,Male,Auto & Accessories,Car Speakers,211,5,0.3,78.3,7.8
10/27/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,33.5,3.3
3/8/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,27.4,2.7
12/9/2018,Male,Auto & Accessories,Tyre,250,1,0.2,155,15.5
2/11/2018,Male,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8
10/12/2018,Male,Auto & Accessories,Car Mat,54,1,0.1,54,5.4
7/3/2018,Male,Auto & Accessories,Car Seat Covers,114,4,0.3,20.3,2
5/23/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,104.8,10.5
4/29/2018,Male,Auto & Accessories,Car Media Players,140,5,0.3,32,3.2
6/14/2018,Male,Auto & Accessories,Car Speakers,211,4,0.3,97.2,9.7
11/23/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2
2/10/2018,Male,Auto & Accessories,Car & Bike Care,118,4,0.3,19.1,1.9
11/21/2018,Male,Auto & Accessories,Tyre,250,1,0.3,155,15.5
5/27/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,72,7.2
5/20/2018,Female,Auto & Accessories,Car Mat,54,4,0.2,13.5,1.4
7/28/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8
3/5/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.1,146.4,14.6
12/7/2018,Female,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4
11/20/2018,Male,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5
8/9/2018,Male,Auto & Accessories,Car Body Covers,117,1,0.3,23,2.3
11/2/2018,Male,Auto & Accessories,Car & Bike Care,118,1,0.3,26.2,2.6
6/2/2018,Male,Auto & Accessories,Tyre,250,1,0.3,150,15
9/18/2018,Male,Auto & Accessories,Bike Tyres,72,1,0.3,72,7.2
6/5/2018,Male,Auto & Accessories,Car Mat,54,,0.2,54,5.4
5/14/2018,Male,Auto & Accessories,Car Seat Covers,114,1,0.3,23.7,2.4
4/26/2018,Male,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.1,139.5,13.9
10/26/2018,Male,Auto & Accessories,Car Media Players,140,4,0.1,54.4,5.4
3/1/2018,Male,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9
5/26/2018,Male,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1
11/9/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.1,35.6,3.6
11/9/2018,Male,Auto & Accessories,Tyre,250,4,0.3,140,14
